CoachID,TEAMNAME,FirstName,LastName,Age,Salary,WorkingYears
1,Hawks,Lloyd,Pierce,43,2.0,2
2,Celtics,Brad,Stevens,42,3.6,7
3,Nets,Kenny,Atkinson,52,3.2,4
4,Hornets,James,Borrego,41,2.1,2
5,Bulls,Jim,Boylen,54,1.8,2
6,Cavaliers,John,Beilein,66,1.7,1
7,Mavericks,Rick,Carlisle,59,7.2,12
8,Nuggets,Mike,Malone,47,2.3,5
9,Pistons,Dwane,Casey,62,2.2,2
10,Warriors,Steve,Kerr,53,3.2,6
11,Rockets,Mike,D'Antoni,68,2.8,4
12,Pacers,Nate,McMillan,54,1.9,4
13,Clippers,Doc,Rivers,57,10.5,7
14,Lakers,Frank,Vogel,45,8.5,1
15,Grizzlies,Taylor,Jenkins,34,3.5,1
16,Heat,Erik,Spoelstra,48,4.1,12
17,Bucks,Mike,Budenholzer,49,2.3,2
18,Timberwolves,Ryan,Saunders,33,1.9,2
19,Pelicans,Alvin,Gentry,64,2.1,5
20,Knicks,David,Fizdale,45,2.2,2
21,Thunder,Billy,Donovan,54,1.8,5
22,Magic,Steven,Clifford,57,2.2,2
23,76ers,Brett,Brown,58,2.1,7
24,Suns,Monty,Williams,47,2.0,1
25,Trail blazers,Terry,Stotts,61,3.2,8
26,Kings,Luke,Walton,39,2.4,2
27,Spurs,Gregg,Papovich,70,11.0,24
28,Raptors,Nick,Nurse,51,6.1,2
29,Jazz,Quin,Snyder,52,2.3,6
30,Wizards,Scott,Brooks,53,2.6,5
