ID,FIRSTNAME,LASTNAME,SUFFIX,POS,AGE,AvgMin,GP,AvgPoints,TEAM
1,Kawhi,Leonard,,F,28,39.17,24,30.50,Raptors
2,Pascal,Siakam,,F,25,37.15,24,18.96,Raptors
3,CJ,McCollum,,G,28,39.70,16,24.70,Trail blazers
4,Giannis,Antetokounmpo,,F,25,34.27,15,25.53,Bucks
5,Nikola,Jokic,,C,24,39.74,14,25.16,Nuggets
6,Klay,Thompson,,G,29,38.98,21,20.71,Warriors
7,Stephen,Curry,,G,31,38.45,22,28.18,Warriors
8,Damian,Lillard,,G,29,40.61,16,26.85,Trail blazers
9,Jamal,Murray,,G,22,36.34,14,21.28,Nuggets
10,Draymond,Green,,F,29,38.64,22,13.28,Warriors
11,Kevin,Durant,,F,31,36.82,12,32.26,Warriors
12,Serge,Ibaka,,F-C,30,20.83,24,9.37,Raptors
13,Enes,Kanter,,C,27,28.80,16,11.37,Trail blazers
14,Kyle,Lowry,,G,33,37.54,24,15.04,Raptors
15,Jimmy,Butler,,G-F,30,35.09,12,19.41,76ers
16,James,Harden,,G,30,38.54,11,31.62,Rockets
17,Kyrie,Irving,,G,27,36.72,9,21.31,Celtics
18,Joel,Embiid,,F-C,25,30.38,11,20.19,76ers
19,Paul,Millsap,,F,34,33.50,14,14.65,Nuggets
20,DeMar,DeRozan,,G,30,35.81,7,22.02,Spurs
21,Ben,Simmons,,G-F,23,35.04,12,13.92,76ers
22,Eric,Bledsoe,,G,30,28.22,15,13.66,Bucks
23,LaMarcus,Aldridge,,F,34,34.85,7,20.01,Spurs
24,Khris,Middleton,,F,28,34.37,15,16.94,Bucks
25,Tobias,Harris,,F,27,36.91,12,15.50,76ers
26,Gary,Harris,,G,25,36.96,14,14.22,Nuggets
27,Kevon,Looney,,F,23,20.54,21,7.09,Warriors
28,Marc,Gasol,,C,34,30.62,24,9.42,Raptors
29,Andre,Iguodala,,G-F,35,29.95,21,9.81,Warriors
30,Lou,Williams,,G,33,29.38,6,21.65,Clippers
31,Chris,Paul,,G,34,36.14,11,16.99,Rockets
32,Clint,Capela,,C,25,30.05,11,9.73,Rockets
33,Jayson,Tatum,,F,21,32.78,9,15.22,Celtics
34,Maurice,Harkless,,F,26,24.24,16,8.38,Trail blazers
35,Will,Barton,,G,28,23.42,14,9.07,Nuggets
36,Russell,Westbrook,,G,31,39.46,5,22.82,Thunder
37,Monte,Morris,,G,24,16.03,14,5.36,Nuggets
38,Shaun,Livingston,,G,34,14.64,22,4.05,Warriors
39,George,Hill,,G,33,26.30,15,11.53,Bucks
40,Donovan,Mitchell,,G,23,38.64,5,21.39,Jazz
41,Fred,VanVleet,,G,25,24.67,24,8.00,Raptors
42,Danilo,Gallinari,,F,31,33.55,6,19.82,Clippers
43,Al,Horford,,F-C,33,34.46,9,13.88,Celtics
44,D'Angelo,Russell,,G,23,29.57,5,19.40,Nets
45,Norman,Powell,,F-G,26,15.94,23,6.52,Raptors
46,Montrezl,Harrell,,F-C,25,26.30,6,18.33,Clippers
47,Rodney,Hood,,G,27,23.33,16,9.88,Trail blazers
48,Zach,Collins,,F-C,22,17.18,16,6.81,Trail blazers
49,Brook,Lopez,,C,31,29.18,15,11.20,Bucks
50,Al-Farouq,Aminu,,F,29,24.96,16,7.38,Trail blazers
51,Derrick,White,,G,25,27.26,7,15.15,Spurs
52,Eric,Gordon,,G,30,37.25,11,17.82,Rockets
53,Paul,George,,F,29,40.80,5,28.59,Thunder
54,Andre,Drummond,,C,26,31.87,4,14.26,Pistons
55,Rudy,Gay,,F,33,25.49,7,11.14,Spurs
56,Jaylen,Brown,,F,23,30.38,9,13.89,Celtics
57,Caris,LeVert,,G,25,28.85,5,21.01,Nets
58,Gordon,Hayward,,F,29,29.62,9,9.56,Celtics
59,Malik,Beasley,,G,23,20.06,14,8.07,Nuggets
60,Ricky,Rubio,,G,29,33.50,5,15.40,Jazz
61,Mason,Plumlee,,F-C,29,15.55,14,4.57,Nuggets
62,Nikola,Vucevic,,C,29,29.47,5,11.20,Magic
63,Evan,Turner,,G-F,31,15.31,16,2.69,Trail blazers
64,Reggie,Jackson,,G,29,26.93,4,17.76,Pistons
65,Shai,Gilgeous-Alexander,,G,21,28.75,6,13.66,Clippers
66,Aaron,Gordon,,F,24,32.78,5,15.20,Magic
67,DeMarcus,Cousins,,C,29,16.66,8,7.62,Warriors
68,Bojan,Bogdanovic,,F,30,36.91,4,18.00,Pacers
69,Malcolm,Brogdon,,G,27,28.32,7,12.99,Bucks
70,Nikola,Mirotic,,F,28,21.26,14,9.49,Bucks
71,Ersan,Ilyasova,,F,32,18.14,15,6.80,Bucks
72,Steven,Adams,,C,26,31.82,5,11.80,Thunder
73,Marcus,Morris,,F,30,28.27,9,13.67,Celtics
74,Spencer,Dinwiddie,,G,26,26.30,5,14.60,Nets
75,Andrew,Bogut,,C,35,9.41,19,2.74,Warriors
76,JJ,Redick,,G,35,31.30,12,13.42,76ers
77,Boban,Marjanovic,,C,31,10.46,10,6.40,76ers
78,Quinn,Cook,,G,26,11.38,17,4.18,Warriors
79,Greg,Monroe,,C,29,8.98,10,4.00,76ers
80,Danny,Green,,G-F,32,28.51,24,6.92,Raptors
81,Pat,Connaughton,,G,26,21.60,15,6.20,Bucks
82,Dennis,Schroder,,G,26,30.14,5,13.80,Thunder
83,Evan,Fournier,,G-F,27,34.99,5,12.39,Magic
84,Jakob,Poeltl,,C,24,25.30,7,7.28,Spurs
85,Thaddeus,Young,,F,31,32.59,4,10.51,Pacers
86,Darren,Collison,,G,32,29.18,4,12.00,Pacers
87,Torrey,Craig,,F,28,23.62,14,6.57,Nuggets
88,Derrick,Favors,,F-C,28,20.64,5,11.80,Jazz
89,Jarrett,Allen,,C,21,22.03,5,11.00,Nets
90,Rondae,Hollis-Jefferson,,F,24,15.65,4,13.25,Nets
91,Luke,Kennard,,G,23,33.17,4,15.01,Pistons
92,James,Ennis,III,F,29,21.07,11,7.55,76ers
93,Meyers,Leonard,,F-C,27,15.46,11,7.72,Trail blazers
94,Rudy,Gobert,,C,27,30.38,5,11.21,Jazz
95,Ish,Smith,,G,31,20.21,4,6.00,Pistons
96,Jordan,Bell,,F,24,7.06,15,2.73,Warriors
97,PJ,Tucker,,F,34,38.69,11,11.36,Rockets
98,Seth,Curry,,G,29,20.40,16,5.63,Trail blazers
99,Tyreke,Evans,,G,30,21.02,4,15.25,Pacers
100,Alfonzo,McKinnie,,F,27,10.70,22,3.00,Warriors
101,Austin,Rivers,,G,27,21.55,10,7.40,Rockets
102,T.J.,McConnell,,G,27,8.30,9,2.66,76ers
103,Blake,Griffin,,F,30,29.04,2,24.52,Pistons
104,Terry,Rozier,,G,25,17.95,9,6.44,Celtics
105,Domantas,Sabonis,,F,23,24.05,4,8.50,Pacers
106,Bryn,Forbes,,G,26,30.34,7,10.72,Spurs
107,Jonas,Jerebko,,F,32,7.54,16,2.12,Warriors
108,Michael,Carter-Williams,,G,28,18.48,5,6.60,Magic
109,Joe,Harris,,G-F,28,29.86,5,8.79,Nets
110,Royce,O'Neale,,F,26,27.46,5,10.60,Jazz
111,Myles,Turner,,F-C,23,31.49,4,9.75,Pacers
112,Patty,Mills,,G,31,21.74,7,5.28,Spurs
113,JaMychal,Green,,F,29,23.47,6,11.00,Clippers
114,Jerami,Grant,,F,25,35.18,5,11.60,Thunder
115,Nerlens,Noel,,F-C,25,12.05,5,4.80,Thunder
116,D.J.,Augustin,,G,32,28.18,5,12.80,Magic
117,Jonathan,Isaac,,F,22,27.31,5,6.60,Magic
118,Jonathon,Simmons,,F,30,7.39,7,3.57,76ers
119,Terrence,Ross,,G-F,28,29.18,5,13.20,Magic
120,Ivica,Zubac,,C,22,9.65,4,5.00,Clippers
121,Khem,Birch,,C,27,18.34,5,5.20,Magic
122,Patrick,Beverley,,G,31,32.40,6,9.83,Clippers
123,Sterling,Brown,,G,24,14.74,11,4.09,Bucks
124,Marco,Belinelli,,G-F,33,18.77,7,5.86,Spurs
125,Jodie,Meeks,,G,32,4.75,14,1.57,Raptors
126,Jae,Crowder,,F,29,26.02,5,11.40,Jazz
